uuid,description,content_en,message_type,title_en,content_ar,title_ar
fced1f0c768945c8953bb3a90a70a505,hd_booking_allocated_to_listing,"Hey Zoomcar Host, ${no_fuel}Booking ${entity_key} for ${customer_name} is scheduled to start on your Listing ${listing_encoded_id} at ${starts_at}. ${fuel_text} ${cargroup_name} ${license} at ${location_address}. Please note that this is a home delivery booking due to which the car would be picked up from your location a bit earlier than the booking start time, and would be dropped back a bit later than the booking end time. - Team Zoomcar Host",SMS,,مرحبًا يا صاح، من المقرر أن يبدأ حجز ${no_fuel}${entity_key} لـ ${customer_name} في القائمة ${listing_encoded_id} في ${starts_at}.  {fuel_text} ${cargroup_name}  {license} في ${location_address}. يرجى ملاحظة أن هذا حجز توصيل إلى المنزل بسببه سيتم استلام السيارة من موقعك في وقت أبكر قليلاً من وقت بدء الحجز، وسيتم إرجاعها بعد وقت قصير من تاريخ انتهاء الحجز. - فريق Zoomcar Host ,
bb39ba9ff04d4be8ab254f9aaf5522a6,hd_booking_allocated_to_listing,"Hey Zoomcar Host, ${no_fuel}Booking ${entity_key} for ${customer_name} is scheduled to start on your Listing ${listing_encoded_id} at ${starts_at}.${fuel_text} ${cargroup_name} ${license} at ${location_address}. Please note that this is a home delivery booking due to which the car would be picked up from your location a bit earlier than the booking start time, and would be dropped back a bit later than the booking end time.- Team Zoomcar Host",WHATSAPP,,مرحبًا يا صاح، من المقرر أن يبدأ حجز ${no_fuel}${entity_key} لـ ${customer_name} في القائمة ${listing_encoded_id} في ${starts_at}.  {fuel_text} ${cargroup_name}  {license} في ${location_address}. يرجى ملاحظة أن هذا حجز توصيل إلى المنزل بسببه سيتم استلام السيارة من موقعك في وقت أبكر قليلاً من وقت بدء الحجز، وسيتم إرجاعها بعد وقت قصير من تاريخ انتهاء الحجز. - فريق Zoomcar Host ,
90b0ed960c734c8481699b1560e933e8,jit_listing,Scheduling your listing well in advance by over ${min_listing_hours} hours will allow your car to be available for more number of bookings.,ANDROID_PN,Listing recommendation,ستسمح جدولة قائمتك مسبقًا بما يزيد عن ${min_listing_hours} من الساعات بأن تكون سيارتك متاحة لعدد أكبر من الحجوزات. ,توصية الإدراج
788f78bedc2143db8feab1037d3853ce,jit_listing,Scheduling your listing well in advance by over ${min_listing_hours} hours will allow your car to be available for more number of bookings.,IOS_PN,Listing recommendation,ستسمح جدولة قائمتك مسبقًا بما يزيد عن ${min_listing_hours} من الساعات بأن تكون سيارتك متاحة لعدد أكبر من الحجوزات. ,توصية الإدراج
a217e8fb668b43fa92505daa9c552f06,listing car not ready,"Your Listing (${entity_key}) is about to start at ${starts_at}, however, the car is ${reason}. Please note, if the checklist is not filled by the listing start time, the listing will be auto cancelled, and respective cancellation charges would be levied. Kindly hurry up to avoid any fines. ${cargroup_name} ${license} at ${location_address} from ${starts_at} to ${ends_at}. - ${signature}",SMS,,قائمتك (${entity_key}) على وشك البدء في ${starts_at}، ولكن السيارة ${reason} يرجى ملاحظة أنه إذا لم يتم ملء قائمة التحقق بحلول وقت بدء القائمة، فسيتم إلغاء القائمة تلقائيًا وسيتم فرض رسوم الإلغاء ذات الصلة. يرجى الإسراع في تجنب أي غرامات. ${cargroup_name}  {license} في ${location_address} من ${starts_at} إلى ${ends_at}. - ${signature} ,
49b677ada65f4fc894e4a2fde7b2c6a5,listing car not ready,Your Listing (${entity_key}) is about to start at ${starts_at} & the listing start checklist is not filled yet. Click here to fill it now and avoid listing cancellation.,ANDROID_PN,Fill the listing start checklist NOW!,قائمتك (${entity_key}) على وشك أن تبدأ في ${starts_at} ولم يتم ملء قائمة التحقق من بدء القائمة حتى الآن. انقر هنا لملئه الآن وتجنب إلغاء الإدراج.,
b0694c69b94941e79e9d522cb210c6eb,listing end feedback coms,"Hey ${subscriber_type}, your listing ${listing_id} on your car ${car_license} just got completed. Click here ${deep_link} to share your car sharing experience for this listing. - ${signature}",SMS,,مرحبًا ${subscriber_type}، لقد اكتملت قائمتك ${listing_id} على سيارتك ${car_license}. انقر هنا ${deep_link} لمشاركة تجربة مشاركة سيارتك لهذه القائمة. - ${signature} ,
122ace64546748b18fe0f51fb5f8a5ea,listing starts in an hour,Your Listing (${entity_key}) for ${cargroup_name} ${license} will start in an hour at ${location_address}. We hope that the car is ready and parked at the correct location - ${signature},SMS,,ستبدأ قائمتك (${entity_key}) لـ ${cargroup_name}  {license} في غضون ساعة في ${location_address}. نأمل أن تكون السيارة جاهزة ومتوقفة في المكان الصحيح - ${signature} ,
0dd2ae10a601431face0a13ffe5cdac8,listing starts in an hour,"We hope that the car is ready and parked at the correct location""",ANDROID_PN,Your listing (${entity_key}) starts in an hour!,"نتمنى ان تكون السيارة جاهزة و متوقفة في المكان الصحيح "" ",قائمتك (${entity_key}) تبدأ خلال ساعة!
2a6c7ae5ced64f728de4f9cdb4f90041,listing starts in an hour,"We hope that the car is ready and parked at the correct location""",IOS_PN,Your listing (${entity_key}) starts in an hour!,"نتمنى ان تكون السيارة جاهزة و متوقفة في المكان الصحيح "" ",قائمتك (${entity_key}) تبدأ خلال ساعة!
b7ac5763b0d64981a253128ac6dd591b,listing_booking_cancelled,"Hi ${associate_name}, We regret to inform you that the booking ${entity_key} on your Listing ${listing_encoded_id} has been cancelled due to ${cancellation_status}",WHATSAPP,,مرحبًا ${associate_name}، نأسف لإبلاغك بأنه تم إلغاء حجز ${entity_key} في قائمتك ${listing_encoded_id} بسبب ${cancellation_status}  ,
52e82dacf5bc4d579f582feb944ab13b,listing_booking_cancelled,"Hi ${associate_name}, We regret to inform you that the booking ${entity_key} on your Listing ${listing_encoded_id} has been cancelled due to ${cancellation_status} - Team Zoomcar Host",SMS,,مرحبًا ${associate_name}، نأسف لإبلاغك بأنه تم إلغاء حجز ${entity_key} في قائمتك ${listing_encoded_id} بسبب ${cancellation_status} - فريق Zoomcar Host ,
772f0934503b4cf6a6015783d91fc609,listing_booking_cancelled,We regret to inform you that the booking ${entity_key} on your Listing ${listing_encoded_id} has been cancelled due to ${cancellation_status},ANDROID_PN,Booking cancelled,نأسف لإبلاغك بإلغاء حجز ${entity_key} على بطاقة بياناتك ${listing_encoded_id} بسبب ${cancellation_status} ,تم إلغاء الحجز
e12c9a0982ce4764966352b64dafad46,listing_booking_cancelled,We regret to inform you that the booking ${entity_key} on your Listing ${listing_encoded_id} has been cancelled due to ${cancellation_status},IOS_PN,Booking cancelled,نأسف لإبلاغك بإلغاء حجز ${entity_key} على بطاقة بياناتك ${listing_encoded_id} بسبب ${cancellation_status} ,تم إلغاء الحجز
36c17e938956465aa4d6231ca4d42ce3,listing_booking_completed,"Booking ${entity_key} for Listing ${listing_encoded_id} on your car ${cargroup_name} ${license} which was scheduled to end at ${ends_at}, has ended at ${returned_at}. We will notify you once have found the next booking for your car. - Team Zoomcar Host",SMS,,انتهى حجز ${entity_key} لإدراج ${listing_encoded_id} على سيارتك ${cargroup_name}  {license} التي كان من المقرر أن تنتهي عند  ${ends_at}، عند ${Returned_at}. سنقوم بإعلامك بمجرد العثور على الحجز التالي لسيارتك. -  فريق Zoomcar Host ,
bd1f8d19689342e79e7d4f61c49511d9,listing_booking_completed,"Booking ${entity_key} for Listing ${listing_encoded_id} on your car ${cargroup_name} ${license} which was scheduled to end at ${ends_at}, has returned now. We will notify you once have found the next booking for your car.",IOS_PN,Booking completed,تم إرجاع حجز ${entity_key} لإدراج ${listing_encoded_id} على سيارتك ${cargroup_name}  {license} التي كان من المقرر أن تنتهي في ${ends_at} الآن. سنقوم بإعلامك بمجرد العثور على الحجز التالي لسيارتك. ,اكتمل الحجز
e08736fc01b342b68cbefbdfc0a2ad5c,listing_booking_completed,"Booking ${entity_key} for Listing ${listing_encoded_id} on your car ${cargroup_name} ${license} which was scheduled to end at ${ends_at}, has returned now. We will notify you once have found the next booking for your car.",ANDROID_PN,Booking completed,تم إرجاع حجز ${entity_key} لإدراج ${listing_encoded_id} على سيارتك ${cargroup_name}  {license} التي كان من المقرر أن تنتهي في ${ends_at} الآن. سنقوم بإعلامك بمجرد العثور على الحجز التالي لسيارتك. ,اكتمل الحجز
043da0ced7a046aba7a90a09bbb25c56,Listing_booking_completed_Amigo_whatsapp,"Booking ${entity_key} for Listing ${listing_encoded_id} on your car ${cargroup_name} ${license} which was scheduled to end at ${ends_at}, has ended at ${returned_at}. We will notify you once have found the next booking for your car.",WHATSAPP,,انتهى حجز ${entity_key} لإدراج ${listing_encoded_id} على سيارتك ${cargroup_name}  {license} التي كان من المقرر أن تنتهي عند ${ends_at} ، عند ${returned_at}. سنقوم بإعلامك بمجرد العثور على الحجز التالي لسيارتك.,
99cedfb1aa534369afdda52889276632,listing_booking_extended,"Hi ${associate_name}, the trip on your car  (Car Number: ${license}) for the booking ID - ${confirmation_key} has been extended, and the new End Time is ${new_end_time}. Dont worry, we will make sure to account for the extension in your earnings from this booking. - Team Zoomcar Host",SMS,,مرحبًا ${associate_name}، لقد تم تمديد الرحلة على سيارتك (رقم السيارة: ${license}) لمعرف الحجز - ${confirmation_key}، ووقت الانتهاء الجديد هو ${new_end_time}. لا تقلق، سوف نتأكد من حساب التمديد في أرباحك من هذا الحجز. -  فريق Zoomcar Host ,
2efd1a75e99d43cbb177cc8375614ffe,listing_booking_rescheduled,Booking ${entity_key} for Listing ${listing_encoded_id} on your car ${cargroup_name} ${license} which was scheduled to ${reschedule_text},WHATSAPP,,حجز ${entity_key} لإدراج ${listing_encoded_id} على سيارتك ${cargroup_name}$ {license} الذي كان مجدولًا إلى ${reschedule_text}    ,
0d512c23ce9e46f5b2c2ea4aadfc72e4,listing_booking_rescheduled,Booking ${entity_key} for Listing ${listing_encoded_id} on your car ${cargroup_name} ${license} which was scheduled to ${reschedule_text} - Team Zoomcar Host,SMS,,حجز ${entity_key} لإدراج ${listing_encoded_id} على سيارتك ${cargroup_name}$ {license} الذي كان مجدولًا إلى ${reschedule_text} - فريق Zoomcar Host  ,
b7fdc1fb2c334fc6ab418853b61d053b,listing_booking_rescheduled,The Booking allocated to your listing is rescheduled. Please Tap to see more details.,ANDROID_PN,Booking rescheduled,تمت إعادة جدولة الحجز المخصص لقائمتك. الرجاء الضغط لمعرفة المزيد من التفاصيل. ,تمت إعادة جدولة الحجز
cf68b0a67b614fb387db748d2ae2a355,listing_booking_rescheduled,The Booking allocated to your listing is rescheduled. Please Tap to see more details.,IOS_PN,Booking rescheduled,تمت إعادة جدولة الحجز المخصص لقائمتك. الرجاء الضغط لمعرفة المزيد من التفاصيل. ,تمت إعادة جدولة الحجز
a97d7cb752ea4eacab16a2cc4d40a927,listing_booking_revenue_share,Booking ${entity_key} for Listing ${listing_encoded_id} on your car ${cargroup_name} ${license} which ended at ${returned_at} has now been settled. Check your Zoomcar Host app for more details. - Team Zoomcar Host,SMS,,تمت تسوية حجز ${entity_key} لإدراج ${listing_encoded_id} على سيارتك ${cargroup_name}  {license} التي انتهت عند ${returned_at}. تحقق من تطبيق Zoomcar Host الخاص بك لمزيد من التفاصيل. - فريق Zoomcar Host ,
8e4d7b8080c64bca8110bfc759e4e076,listing_booking_revenue_share,Booking ${entity_key} for Listing ${listing_encoded_id} on your car ${cargroup_name} ${license} which ended at ${returned_at} has now been settled. Click to check revenue details.,IOS_PN,Booking revenue share,تمت تسوية حجز ${entity_key} لإدراج ${listing_encoded_id} على سيارتك ${cargroup_name}  {license} التي انتهت عند ${returned_at}. انقر للتحقق من تفاصيل الإيرادات. ,حجز حصة الإيرادات
ce299327661440538302f2a12f6b05b2,listing_booking_revenue_share,Booking ${entity_key} for Listing ${listing_encoded_id} on your car ${cargroup_name} ${license} which ended at ${returned_at} has now been settled. Click to check revenue details.,ANDROID_PN,Booking revenue share,تمت تسوية حجز ${entity_key} لإدراج ${listing_encoded_id} على سيارتك ${cargroup_name}  {license} التي انتهت عند ${returned_at}. انقر للتحقق من تفاصيل الإيرادات. ,حجز حصة الإيرادات
37f1c3cba0ab4d0797db9237b3c2332a,listing_booking_started,Booking ${entity_key} for Listing ${listing_encoded_id} on your car ${cargroup_name} ${license} scheduled to start at ${starts_at} has now been picked up by Customer,ANDROID_PN,Booking started,حجز ${entity_key} لإدراج ${listing_encoded_id} على سيارتك ${cargroup_name}  {license} المقرر أن تبدأ في ${starts_at} قد اختارها العميل ,بدأ الحجز
bdb59af1dcca4ed99ced11142f57350b,listing_booking_started,Booking ${entity_key} for Listing ${listing_encoded_id} on your car ${cargroup_name} ${license} scheduled to start at ${starts_at} has now been picked up by Customer,IOS_PN,Booking started,حجز ${entity_key} لإدراج ${listing_encoded_id} على سيارتك ${cargroup_name}  {license} المقرر أن تبدأ في ${starts_at} قد اختارها العميل ,بدأ الحجز
cd91d179cdf049b49b578899e6c41133,listing_booking_started,Booking ${entity_key} for Listing ${listing_encoded_id} on your car ${cargroup_name} ${license} scheduled to start at ${starts_at} has now been picked up by Customer - Team Zoomcar Host,SMS,,حجز ${entity_key} لإدراج ${listing_encoded_id} على سيارتك ${cargroup_name}  {license} المقرر أن تبدأ في ${starts_at} قد اختارها العميل - فريق Zoomcar Host,
7dbd6748ddf0401fa483b4104510d92c,Listing_Booking_Started_Amigo_Whatsapp,Booking ${entity_key} for Listing ${listing_encoded_id} on your car ${cargroup_name} ${license} scheduled to start at ${starts_at} has now been picked up by Customer ${customer_name}.,WHATSAPP,,حجز ${entity_key} لإدراج ${listing_encoded_id} على سيارتك ${cargroup_name}  {license} المقرر أن تبدأ في ${starts_at} قد اختارها العميل ${customer_name},
088320bdcc794939932a64a8bca50405,listing_cancellation,Your Zoomcar listing (${entity_key}) has been cancelled${cancellation_charge_text}.,IOS_PN,Listing cancellation,تم إلغاء قائمة $Zoomcar (${entity_key}) {cancellation_charge_text}. ,إلغاء الإدراج
a6ccad1aa2ed40a793c21cfbcc68912c,listing_cancellation,Your Zoomcar listing (${entity_key}) has been cancelled${cancellation_charge_text}.,ANDROID_PN,Listing cancellation,تم إلغاء قائمة $Zoomcar (${entity_key}) {cancellation_charge_text}. ,إلغاء الإدراج
047c4cfae3a3496bb8823a8e95640dbb,listing_cancellation,Your Listing (${entity_key}) has been successfully cancelled${cancellation_charge_text}. Details are - ${cargroup_name} ${license} at ${location_address} from ${starts_at} to ${ends_at}. - Team Zoomcar Host,SMS,,تم إلغاء قائمتك (${entity_key}) بنجاح ${cancellation_charge_text}. التفاصيل - ${cargroup_name}$ {license} في ${location_address} من ${starts_at} إلى ${ends_at}. - فريق Zoomcar Host ,
7dd0835a3c164c93aa77b2ab91769a35,listing_car_not_ready,Your Listing (${entity_key}) is about to start soon from ${starts_at} however the car is not marked ready.,ANDROID_PN,Listing car not ready,قائمتك (${entity_key}) على وشك البدء قريبًا من ${starts_at} ولكن السيارة غير جاهزة. ,قائمة السيارة غير جاهزة
5b5e8f8c8f534b17b9ca52c3dad6bad9,listing_car_not_ready,Your Listing (${entity_key}) is about to start soon however the car is ${reason}. Kindly hurry up to avoid any fines. ${cargroup_name} ${license} at ${location_address} from ${starts_at} to ${ends_at}. - Team Zoomcar Host,SMS,,قائمتك (${entity_key}) على وشك البدء قريبًا ولكن السيارة ${reason}. يرجى الإسراع في تجنب أي غرامات. ${cargroup_name}  {license} في ${location_address} من ${starts_at} إلى ${ends_at}. -  فريق Zoomcar Host ,
0780a837feb74e2f858bbb128099fcfc,Listing_car_not_ready_alert_Amigo_V2,"Your Listing ${entity_key} is about to start at ${starts_at}, however, the car is ${reason}. Please note, if the checklist is not filled by the listing start time, the listing will be auto cancelled, and respective cancellation charges would be levied. Kindly hurry up to avoid any fines. ${cargroup_name} ${license} at ${location_address} from ${starts_at} to ${ends_at}.- Team Zoomcar Host",WHATSAPP,,قائمتك ${entity_key} على وشك أن يبدأ في ${starts_at}، ومع ذلك، السيارة ${reason}. يرجى ملاحظة أنه إذا لم يتم ملء قائمة التحقق بحلول وقت بدء القائمة، فسيتم إلغاء القائمة تلقائيًا، وسيتم فرض رسوم الإلغاء ذات الصلة. يرجى الإسراع في تجنب أي غرامات. ${cargroup_name}  {license} في ${location_address} من ${starts_at} إلى ${ends_at} . -  فريق Zoomcar Host ,
4d63308d7ccb436ab9a6cbeadfd76394,Listing_Checklist_Changes_Alert_Amigo_SMS,"Hey Zoomcar Host! Whenever a listing is created, the listing start checklist needs to be filled within the 12 hours window, which starts 12 hours before the listing start time, and ends at the listing start time. Please note that going forward, if the listing start checklist is not filled within this 12 hours window, the listing will get auto cancelled and respective cancellation charges would be levied - Team Zoomcar Host",SMS,,مرحبا يا صاح! عندما يتم إنشاء قائمة، يجب ملء قائمة التحقق من بدء القائمة في غضون 12 ساعة، والتي تبدأ قبل 12 ساعة من وقت بدء القائمة، وتنتهي في وقت بدء القائمة. يرجى ملاحظة أنه من الآن فصاعدًا، إذا لم يتم ملء قائمة التحقق من بدء الإدراج في غضون 12 ساعة، فسيتم إلغاء القائمة تلقائيًا وسيتم فرض رسوم الإلغاء ذات الصلة - فريق Zoomcar Host ,
7d3e333238a0432ea86850e8f8fc723a,listing_checklist_reminder,"Hi ${associate_name}, this is to keep you informed that whenever a listing is created, the listing start checklist needs to be filled within the 12 hrs window, which starts 12 hours before the listing start time and ends at the listing start time. Please note that if it is not filled within this 12 hours window, the listing will get auto-canceled and respective cancellation charges would be levied -Team Zoomcar Host",WHATSAPP,,مرحبًا ${associate_name}، هذا لإعلامك بأنه كلما تم إنشاء قائمة، يجب ملء قائمة التحقق من بدء القائمة في غضون 12 ساعة، والتي تبدأ قبل 12 ساعة من وقت بدء القائمة وتنتهي في وقت بدء القائمة. يرجى ملاحظة أنه إذا لم يتم ملؤها خلال نافذة الـ 12 ساعة هذه، فسيتم إلغاء القائمة تلقائيًا وسيتم فرض رسوم الإلغاء ذات الصلة - فريق Zoomcar Host ,
52b0010dfa6743eeabff8ced5ebf1c30,listing_creation,Your Listing has been confirmed for ${cargroup_name} ${license} from ${location_address},IOS_PN,Listing creation,تم تأكيد قائمتك لـ ${cargroup_name} $ {License} من ${location_address} ,إنشاء القائمة
257ae8f9a4844fecbe3ef599611dd522,listing_creation,Your Listing has been confirmed for ${cargroup_name} ${license} from ${location_address},ANDROID_PN,Listing creation,تم تأكيد قائمتك لـ ${cargroup_name} $ {License} من ${location_address} ,إنشاء القائمة
4edb2f76bf8d4a208861a75d5f6a8364,listing_delayed,Your Zoomcar Listing (${entity_key}) has not been made live yet. Late fee of ${late_fee} has been applied as the car ${cargroup_name} ${license} was not made available for the listing on time.,ANDROID_PN,Listing delayed,لم يتم نشر قائمة Zoomcar الخاصة بك (${entity_key})  حتى الآن. تم تطبيق الرسوم المتأخرة البالغة ${late_fee} نظرًا لعدم إتاحة السيارة ${cargroup_name}  {License} للإدراج في الوقت المحدد. ,قائمة تأخير
57a9c15bd2e647f8a49450ad63e94a49,listing_delayed,Your Zoomcar Listing (${entity_key}) has not been made live yet. Late fee of ${late_fee} has been applied as the car ${cargroup_name} ${license} was not made available for the listing on time.,IOS_PN,Listing delayed,لم يتم نشر قائمة Zoomcar الخاصة بك (${entity_key})  حتى الآن. تم تطبيق الرسوم المتأخرة البالغة ${late_fee} نظرًا لعدم إتاحة السيارة ${cargroup_name}  {License} للإدراج في الوقت المحدد. ,قائمة تأخير
8e6970fd40e4489d83ae4ee19e81af86,listing_delayed,"Your Listing (${entity_key}) has not been made live yet. Late fee of Rs ${late_fee} has been applied for ${late_hours} hours,  for your car ${cargroup_name} ${license} at ${location_address} from ${starts_at} to ${ends_at}. - Team Zoomcar Host",SMS,,لم يتم نشر قائمتك (${entity_key}) حتى الآن. تم تطبيق الرسوم المتأخرة البالغة ريال سعودي ${late_fee} لمدة ${late_hours} ساعة، لسيارتك ${cargroup_name}  {License} بسعر ${location_address} من ${starts_at} إلى ${ends_at}. -  فريق Zoomcar Host ,
39bf2e4567814269b366297dfaa47bca,listing_ends_early,We recommend to extend your listing to end after ${min_end_time}. Most Zoomcar users prefer to return cars early in morning. It gives you a higher chance of getting longer duration bookings & increases your revenue.,ANDROID_PN,Listing ends early,نوصي بتمديد قائمتك حتى تنتهي بعد ${min_end_time}. يفضل معظم مستخدمي Zoomcar إعادة السيارات في الصباح الباكر. يمنحك فرصة أكبر للحصول على حجوزات طويلة المدة ويزيد من إيراداتك.,القائمة تنتهي في وقت مبكر
a1fdd7223eb14922bc3ab7592f683d50,listing_ends_early,We recommend to extend your listing to end after ${min_end_time}. Most Zoomcar users prefer to return cars early in morning. It gives you a higher chance of getting longer duration bookings & increases your revenue.,IOS_PN,Listing ends early,نوصي بتمديد قائمتك حتى تنتهي بعد ${min_end_time}. يفضل معظم مستخدمي Zoomcar إعادة السيارات في الصباح الباكر. يمنحك فرصة أكبر للحصول على حجوزات طويلة المدة ويزيد من إيراداتك.,القائمة تنتهي في وقت مبكر
